Date,Sentiment_Index
11/02/2019,99.84
12/02/2019,101.25
13/02/2019,101.59
14/02/2019,101.37
15/02/2019,102.35
19/02/2019,102.56
20/02/2019,102.47
21/02/2019,102.09
22/02/2019,102.94
25/02/2019,102.86
26/02/2019,102.83
27/02/2019,102.64
28/02/2019,102.31
01/03/2019,103.22
04/03/2019,102.78
05/03/2019,102.74
06/03/2019,102.05
07/03/2019,101.24
08/03/2019,100.95
11/03/2019,102.45
12/03/2019,102.84
13/03/2019,103.51
14/03/2019,103.36
15/03/2019,103.81
18/03/2019,104.02
19/03/2019,104.09
20/03/2019,104.15
21/03/2019,105.39
22/03/2019,103.59
25/03/2019,103.5
26/03/2019,104.21
27/03/2019,103.7
28/03/2019,103.9
29/03/2019,104.64
01/04/2019,105.68
02/04/2019,105.66
03/04/2019,105.83
04/04/2019,106.02
05/04/2019,106.57
08/04/2019,106.68
09/04/2019,106.04
10/04/2019,106.41
11/04/2019,106.32
12/04/2019,106.85
15/04/2019,106.83
16/04/2019,106.73
17/04/2019,106.31
18/04/2019,106.51
22/04/2019,106.81
23/04/2019,107.9
24/04/2019,107.68
25/04/2019,107.68
26/04/2019,108.01
29/04/2019,107.92
30/04/2019,108.05
01/05/2019,106.86
02/05/2019,106.62
03/05/2019,107.74
06/05/2019,107.38
07/05/2019,105.64
08/05/2019,105.53
09/05/2019,105.29
10/05/2019,105.73
13/05/2019,103.36
14/05/2019,104.06
15/05/2019,104.81
16/05/2019,105.81
17/05/2019,105.21
20/05/2019,104.69
21/05/2019,105.44
22/05/2019,105.36
23/05/2019,104.08
24/05/2019,104.2
28/05/2019,103.4
29/05/2019,102.57
30/05/2019,102.73
31/05/2019,101.33
03/06/2019,100.62
04/06/2019,102.72
05/06/2019,103.44
06/06/2019,104.05
07/06/2019,105.32
10/06/2019,105.86
11/06/2019,105.91
12/06/2019,105.61
13/06/2019,106.06
14/06/2019,105.89
17/06/2019,106.16
18/06/2019,107.21
19/06/2019,107.54
20/06/2019,108.58
21/06/2019,108.54
24/06/2019,108.38
25/06/2019,107.2
26/06/2019,107.2
27/06/2019,107.54
28/06/2019,108.02
01/07/2019,108.86
02/07/2019,109.24
03/07/2019,110.03
05/07/2019,109.83
08/07/2019,109.31
09/07/2019,109.54
10/07/2019,110.23
11/07/2019,110.43
12/07/2019,110.9
15/07/2019,111
16/07/2019,110.51
17/07/2019,109.94
18/07/2019,110.2
19/07/2019,109.52
22/07/2019,109.97
23/07/2019,110.67
24/07/2019,111.27
25/07/2019,110.63
26/07/2019,111.57
29/07/2019,111.37
30/07/2019,111
31/07/2019,109.69
01/08/2019,108.78
02/08/2019,107.97
05/08/2019,104.69
06/08/2019,106.01
07/08/2019,106.1
08/08/2019,108.19
09/08/2019,107.49
12/08/2019,106.18
13/08/2019,107.92
14/08/2019,104.7
15/08/2019,104.95
16/08/2019,106.48
19/08/2019,107.82
20/08/2019,107.02
21/08/2019,107.92
22/08/2019,107.76
23/08/2019,104.86
26/08/2019,106.13
27/08/2019,105.85
28/08/2019,106.49
29/08/2019,107.84
30/08/2019,107.86
03/09/2019,107.05
04/09/2019,108.22
05/09/2019,109.75
06/09/2019,109.76
09/09/2019,109.59
10/09/2019,109.54
11/09/2019,110.33
12/09/2019,110.69
13/09/2019,110.45
16/09/2019,110
17/09/2019,110.34
18/09/2019,110.4
19/09/2019,110.5
20/09/2019,109.92
23/09/2019,109.9
24/09/2019,108.96
25/09/2019,109.62
26/09/2019,109.31
27/09/2019,108.63
30/09/2019,109.27
01/10/2019,108.18
02/10/2019,106.28
03/10/2019,107.14
04/10/2019,108.74
07/10/2019,108.28
08/10/2019,106.68
09/10/2019,107.64
10/10/2019,108.29
11/10/2019,109.39
14/10/2019,109.3
15/10/2019,110.49
16/10/2019,110.25
17/10/2019,110.53
18/10/2019,109.89
21/10/2019,110.66
22/10/2019,110.22
23/10/2019,110.53
24/10/2019,110.82
25/10/2019,111.35
28/10/2019,112.17
29/10/2019,111.84
30/10/2019,112.3
31/10/2019,112.08
01/11/2019,113.05
04/11/2019,113.44
05/11/2019,113.32
06/11/2019,113.41
07/11/2019,113.73
08/11/2019,114.19
11/11/2019,113.94
12/11/2019,114.15
13/11/2019,114.29
14/11/2019,114.33
15/11/2019,115.28
18/11/2019,115.45
19/11/2019,115.32
20/11/2019,114.88
21/11/2019,114.74
22/11/2019,114.95
25/11/2019,115.85
26/11/2019,116.13
27/11/2019,116.64
29/11/2019,116.2
02/12/2019,115.2
03/12/2019,114.49
04/12/2019,115.2
05/12/2019,115.38
06/12/2019,116.46
09/12/2019,116.06
10/12/2019,115.95
11/12/2019,116.32
12/12/2019,117.26
13/12/2019,117.38
16/12/2019,118.29
17/12/2019,118.36
18/12/2019,118.28
19/12/2019,118.85
20/12/2019,119.44
23/12/2019,119.58
24/12/2019,119.56
26/12/2019,120.34
27/12/2019,120.34
30/12/2019,119.58
31/12/2019,119.9
02/01/2020,121.16
03/01/2020,120.23
06/01/2020,120.78
07/01/2020,120.46
08/01/2020,121.19
09/01/2020,122.05
10/01/2020,121.75
13/01/2020,122.59
14/01/2020,122.31
15/01/2020,122.54
16/01/2020,123.56
17/01/2020,124.1
21/01/2020,123.89
22/01/2020,123.99
23/01/2020,124.02
24/01/2020,122.84
27/01/2020,120.89
28/01/2020,122.17
29/01/2020,122.02
30/01/2020,122.42
31/01/2020,120.29
03/02/2020,121.22
04/02/2020,123.19
05/02/2020,124.45
06/02/2020,125.07
07/02/2020,124.52
10/02/2020,125.61
11/02/2020,125.59
12/02/2020,126.36
13/02/2020,126.16
14/02/2020,126.51
18/02/2020,126.26
19/02/2020,126.9
20/02/2020,126.2
21/02/2020,124.7
24/02/2020,120.5
25/02/2020,117.12
26/02/2020,117.01
27/02/2020,111.71
28/02/2020,111.13
02/03/2020,116.53
03/03/2020,113.28
04/03/2020,118.33
05/03/2020,114.71
06/03/2020,112.95
09/03/2020,104.94
10/03/2020,110.18
11/03/2020,105.21
12/03/2020,95.57
13/03/2020,104.67
16/03/2020,92.48
17/03/2020,98.26
18/03/2020,94.07
19/03/2020,94.35
20/03/2020,90.2
23/03/2020,88
24/03/2020,95.57
25/03/2020,95.87
26/03/2020,101.83
27/03/2020,98.37
30/03/2020,102.14
31/03/2020,100.68
01/04/2020,96.63
02/04/2020,99.06
03/04/2020,97.63
06/04/2020,104.19
07/04/2020,103.65
08/04/2020,106.67
09/04/2020,107.5
13/04/2020,107.28
14/04/2020,111.23
15/04/2020,109.43
16/04/2020,110.74
17/04/2020,112.69
20/04/2020,111.06
21/04/2020,107.64
22/04/2020,110.21
23/04/2020,110.08
24/04/2020,111.7
27/04/2020,112.72
28/04/2020,111.32
29/04/2020,114.21
30/04/2020,113.9
01/05/2020,111.05
04/05/2020,111.74
05/05/2020,112.97
06/05/2020,112.57
07/05/2020,113.64
08/05/2020,115.21
11/05/2020,115.8
12/05/2020,113.56
13/05/2020,111.98
14/05/2020,113.12
15/05/2020,113.75
18/05/2020,116.41
19/05/2020,115.48
20/05/2020,117.3
21/05/2020,116.3
22/05/2020,116.69
26/05/2020,117.24
27/05/2020,118.39
28/05/2020,118.35
29/05/2020,119.28
01/06/2020,119.48
02/06/2020,120.28
03/06/2020,121.23
04/06/2020,120.47
05/06/2020,123.26
08/06/2020,124.46
09/06/2020,124.22
10/06/2020,124.48
11/06/2020,117.72
12/06/2020,118.88
15/06/2020,119.77
16/06/2020,122.08
17/06/2020,122
18/06/2020,122.14
19/06/2020,121.71
22/06/2020,122.81
23/06/2020,123.51
24/06/2020,120.6
25/06/2020,121.84
26/06/2020,118.91
29/06/2020,120.57
30/06/2020,122.5
01/07/2020,123.43
02/07/2020,123.95
06/07/2020,126.16
07/07/2020,124.99
08/07/2020,126.21
09/07/2020,125.99
10/07/2020,126.93
13/07/2020,125.33
14/07/2020,126.92
15/07/2020,127.61
16/07/2020,127
17/07/2020,127.29
20/07/2020,129.16
21/07/2020,128.81
22/07/2020,129.54
23/07/2020,127.32
24/07/2020,126.49
27/07/2020,127.67
28/07/2020,126.73
29/07/2020,128.09
30/07/2020,127.99
31/07/2020,129.37
03/08/2020,130.57
04/08/2020,131.05
05/08/2020,131.84
06/08/2020,133.02
07/08/2020,132.73
10/08/2020,132.88
11/08/2020,131.5
12/08/2020,133.71
13/08/2020,133.54
14/08/2020,133.43
17/08/2020,133.95
18/08/2020,134.52
19/08/2020,133.94
20/08/2020,134.74
21/08/2020,135.41
24/08/2020,136.54
25/08/2020,137.16
26/08/2020,138.77
27/08/2020,138.74
28/08/2020,139.65
31/08/2020,139.63
01/09/2020,140.76
02/09/2020,142.77
03/09/2020,137.27
04/09/2020,135.93
08/09/2020,131.81
09/09/2020,134.74
10/09/2020,132.23
11/09/2020,132.09
14/09/2020,133.76
15/09/2020,134.66
16/09/2020,133.45
17/09/2020,132.21
18/09/2020,130.69
21/09/2020,129.7
22/09/2020,131.38
23/09/2020,128.08
24/09/2020,128.52
25/09/2020,130.72
28/09/2020,132.82
29/09/2020,132.27
30/09/2020,133.41
01/10/2020,134.31
02/10/2020,132.39
05/10/2020,134.85
06/10/2020,132.66
07/10/2020,135.03
08/10/2020,135.87
09/10/2020,137.33
12/10/2020,139.93
13/10/2020,139.27
14/10/2020,138.18
15/10/2020,137.7
16/10/2020,137.72
19/10/2020,135.37
20/10/2020,135.92
21/10/2020,135.68
22/10/2020,136.17
23/10/2020,136.53
26/10/2020,134.12
27/10/2020,134.07
28/10/2020,129.09
29/10/2020,130.73
30/10/2020,128.73
02/11/2020,129.88
03/11/2020,132.09
04/11/2020,136.06
05/11/2020,138.68
06/11/2020,138.76
09/11/2020,138.61
10/11/2020,138.07
11/11/2020,139.64
12/11/2020,138.5
13/11/2020,140.11
16/11/2020,141.33
17/11/2020,140.51
18/11/2020,138.83
19/11/2020,139.3
20/11/2020,138.42
23/11/2020,138.81
24/11/2020,140.74
25/11/2020,140.79
27/11/2020,141.37
30/11/2020,141.12
01/12/2020,142.86
02/12/2020,143.24
03/12/2020,142.94
04/12/2020,143.9
07/12/2020,143.77
08/12/2020,144.18
09/12/2020,142.8
10/12/2020,142.69
11/12/2020,142.59
14/12/2020,142.1
15/12/2020,143.85
16/12/2020,144.26
17/12/2020,144.88
18/12/2020,144.26
21/12/2020,144.07
22/12/2020,143.81
23/12/2020,143.84
24/12/2020,144.28
28/12/2020,145.8
29/12/2020,145.58
30/12/2020,145.47
31/12/2020,146.23
04/01/2021,144.11
05/01/2021,145.14
06/01/2021,145.19
07/01/2021,147.44
08/01/2021,148.39
11/01/2021,147.24
12/01/2021,147.08
13/01/2021,147.65
14/01/2021,146.97
15/01/2021,145.82
19/01/2021,147.23
20/01/2021,149.67
21/01/2021,150.1
22/01/2021,149.74
25/01/2021,150.49
26/01/2021,150.49
27/01/2021,146.67
28/01/2021,147.94
29/01/2021,144.94
01/02/2021,147.37
02/02/2021,149.37
03/02/2021,149.62
04/02/2021,151.28
05/02/2021,151.84
08/02/2021,152.9
09/02/2021,152.65
10/02/2021,152.49
11/02/2021,152.77
12/02/2021,153.47
16/02/2021,153.24
17/02/2021,153.12
18/02/2021,152.38
19/02/2021,151.67
22/02/2021,149.98
23/02/2021,150.07
24/02/2021,151.64
25/02/2021,147.65
26/02/2021,147.29
01/03/2021,150.81
02/03/2021,149.35
03/03/2021,146.93
04/03/2021,144.99
05/03/2021,147.92
08/03/2021,146.55
09/03/2021,148.76
10/03/2021,149.46
11/03/2021,151.21
12/03/2021,151.05
15/03/2021,151.87
16/03/2021,152.12
17/03/2021,152.35
18/03/2021,149.71
19/03/2021,149.82
22/03/2021,151.17
23/03/2021,150.26
24/03/2021,149.27
25/03/2021,149.69
26/03/2021,152.13
29/03/2021,152.26
30/03/2021,151.4
31/03/2021,152.16
01/04/2021,154.17
05/04/2021,156.56
06/04/2021,156.36
07/04/2021,156.94
08/04/2021,157.74
09/04/2021,159.07
12/04/2021,158.76
13/04/2021,159.5
14/04/2021,158.51
15/04/2021,160.59
16/04/2021,161
19/04/2021,160.19
20/04/2021,159.31
21/04/2021,160.41
22/04/2021,158.84
23/04/2021,160.47
26/04/2021,160.79
27/04/2021,160.67
28/04/2021,160.46
29/04/2021,161.37
30/04/2021,160.15
03/05/2021,160.48
04/05/2021,158.93
05/05/2021,158.91
06/05/2021,160.29
07/05/2021,161.43
10/05/2021,159.81
11/05/2021,158.58
12/05/2021,155.19
13/05/2021,156.91
14/05/2021,159.07
17/05/2021,158.81
18/05/2021,157.62
19/05/2021,157.27
20/05/2021,158.9
21/05/2021,158.69
24/05/2021,160.29
25/05/2021,160.03
26/05/2021,160.24
27/05/2021,160.07
28/05/2021,160.42
01/06/2021,160.08
02/06/2021,160.4
03/06/2021,159.96
04/06/2021,161.46
07/06/2021,161.65
08/06/2021,161.65
09/06/2021,161.56
10/06/2021,162.7
11/06/2021,162.93
14/06/2021,163.58
15/06/2021,163.16
16/06/2021,162.33
17/06/2021,162.86
18/06/2021,160.97
21/06/2021,162.95
22/06/2021,164.06
23/06/2021,163.82
24/06/2021,164.67
25/06/2021,164.83
28/06/2021,165.51
29/06/2021,165.66
30/06/2021,165.83
01/07/2021,166.57
02/07/2021,168.17
06/07/2021,168.22
07/07/2021,168.79
08/07/2021,167.57
09/07/2021,169.2
12/07/2021,169.8
13/07/2021,169.5
14/07/2021,169.84
15/07/2021,169.05
16/07/2021,167.7
19/07/2021,165.29
20/07/2021,167.55
21/07/2021,168.9
22/07/2021,169.43
23/07/2021,171.24
26/07/2021,171.72
27/07/2021,170.57
28/07/2021,170.61
29/07/2021,171.03
30/07/2021,169.86
02/08/2021,169.57
03/08/2021,170.82
04/08/2021,170.14
05/08/2021,171.22
06/08/2021,171.34
09/08/2021,171.23
10/08/2021,171.2
11/08/2021,171.36
12/08/2021,171.73
13/08/2021,172.19
16/08/2021,172.75
17/08/2021,171.73
18/08/2021,169.96
19/08/2021,170.49
