Date,sp500_price,implied_vol,treasury,sp500_vol,Sentiment_Index
2018-01-05,2743.14990234375,,,,
2018-01-08,2747.7099609375,,,,
2018-01-09,2751.2900390625,,,,
2018-01-10,2748.22998046875,,,,
2018-01-11,2767.56005859375,,,,
2018-01-12,2786.239990234375,,,,
2018-01-16,2776.419921875,,,,
2018-01-17,2802.56005859375,,,,
2018-01-18,2798.030029296875,,,,
2018-01-19,2810.300048828125,,,,
2018-01-22,2832.969970703125,,,,
2018-01-23,2839.1298828125,,,,
2018-01-24,2837.5400390625,,,,
2018-01-25,2839.25,,,,
2018-01-26,2872.8701171875,,,,
2018-01-29,2853.530029296875,,,,
2018-01-30,2822.429931640625,,,,
2018-01-31,2823.81005859375,,,,
2018-02-01,2821.97998046875,13.470000267028809,,,
2018-02-02,2762.1298828125,17.309999465942383,,,
2018-02-05,2648.93994140625,37.31999969482422,,,
2018-02-06,2695.139892578125,29.979999542236328,1.4880000352859497,5917350000.0,100.0
2018-02-07,2681.659912109375,27.729999542236328,1.5149999856948853,4646300000.0,99.5
2018-02-08,2581.0,33.459999084472656,1.5149999856948853,5333840000.0,95.76
2018-02-09,2619.550048828125,29.059999465942383,1.524999976158142,5690110000.0,97.16
2018-02-12,2656.0,25.610000610351562,1.534999966621399,4069220000.0,98.42
2018-02-13,2662.93994140625,24.969999313354492,1.5700000524520874,3503540000.0,98.73
2018-02-14,2698.6298828125,19.260000228881836,1.5499999523162842,4011940000.0,100.01
2018-02-15,2731.199951171875,19.1299991607666,1.559999942779541,3696140000.0,101.26
2018-02-16,2732.219970703125,19.459999084472656,1.5700000524520874,3646920000.0,101.37
2018-02-20,2716.260009765625,20.600000381469727,1.5729999542236328,3646920000.0,100.73
2018-02-21,2701.330078125,20.020000457763672,1.6080000400543213,3789040000.0,100.15
2018-02-22,2703.9599609375,18.719999313354492,1.6050000190734863,3720620000.0,100.23
2018-02-23,2747.300048828125,16.489999771118164,1.6050000190734863,3200360000.0,101.86
2018-02-26,2779.60009765625,15.800000190734863,1.6080000400543213,3436590000.0,103.08
2018-02-27,2744.280029296875,18.59000015258789,1.6349999904632568,3752070000.0,101.78
2018-02-28,2713.830078125,19.850000381469727,1.6180000305175781,4244570000.0,100.65
2018-03-01,2677.669921875,22.469999313354492,1.590000033378601,4514490000.0,99.35
2018-03-02,2691.25,19.59000015258789,1.6050000190734863,3891250000.0,99.95
2018-03-05,2720.93994140625,18.729999542236328,1.625,3733640000.0,100.99
2018-03-06,2728.1201171875,18.360000610351562,1.6430000066757202,3389030000.0,101.15
2018-03-07,2726.800048828125,17.760000228881836,1.649999976158142,3406690000.0,101.21
2018-03-08,2738.969970703125,16.540000915527344,1.6349999904632568,3206040000.0,101.68
2018-03-09,2786.570068359375,14.640000343322754,1.6349999904632568,3376870000.0,103.34
2018-03-12,2783.02001953125,15.779999732971191,1.6430000066757202,3216960000.0,103.03
2018-03-13,2765.31005859375,16.350000381469727,1.690000057220459,3324290000.0,102.6
2018-03-14,2749.47998046875,17.229999542236328,1.718000054359436,3394630000.0,102.02
